Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
2105,2016-06-01,2016-11-30,67.7,60.0,-0.11373707533234863,2016-06-01_2016-11-30,176
9921,2016-06-01,2016-11-30,197.0,190.0,-0.03553299492385787,2016-06-01_2016-11-30,134
9933,2016-06-01,2016-11-30,47.25,50.4,0.06666666666666664,2016-06-01_2016-11-30,76
2103,2016-06-01,2016-11-30,27.3,32.25,0.18131868131868129,2016-06-01_2016-11-30,40
9938,2016-06-01,2016-11-30,89.8,96.9,0.07906458797327404,2016-06-01_2016-11-30,74
9941,2016-06-01,2016-11-30,74.1,76.7,0.03508771929824573,2016-06-01_2016-11-30,87
2059,2016-06-01,2016-11-30,350.5,364.5,0.039942938659058486,2016-06-01_2016-11-30,86
2855,2016-06-01,2016-11-30,12.45,11.3,-0.09236947791164647,2016-06-01_2016-11-30,169
1717,2016-06-01,2016-11-30,32.65,33.1,0.013782542113323212,2016-06-01_2016-11-30,105
2903,2016-06-01,2016-11-30,16.8,16.2,-0.035714285714285796,2016-06-01_2016-11-30,135
3037,2016-06-01,2016-11-30,14.1,11.95,-0.15248226950354613,2016-06-01_2016-11-30,184
1229,2016-06-01,2016-11-30,20.65,22.0,0.06537530266343833,2016-06-01_2016-11-30,78
1326,2016-06-01,2016-11-30,81.9,99.9,0.21978021978021978,2016-06-01_2016-11-30,32
2441,2016-06-01,2016-11-30,37.3,38.5,0.032171581769437074,2016-06-01_2016-11-30,88
3026,2016-06-01,2016-11-30,33.0,31.75,-0.03787878787878788,2016-06-01_2016-11-30,137
1319,2016-06-01,2016-11-30,47.6,68.0,0.42857142857142855,2016-06-01_2016-11-30,13
2027,2016-06-01,2016-11-30,15.55,18.4,0.18327974276527317,2016-06-01_2016-11-30,37
1314,2016-06-01,2016-11-30,7.7,9.43,0.2246753246753246,2016-06-01_2016-11-30,28
2104,2016-06-01,2016-11-30,23.45,27.5,0.1727078891257996,2016-06-01_2016-11-30,41
1210,2016-06-01,2016-11-30,25.75,29.45,0.1436893203883495,2016-06-01_2016-11-30,54
1303,2016-06-01,2016-11-30,62.0,67.1,0.08225806451612894,2016-06-01_2016-11-30,73
2456,2016-06-01,2016-11-30,56.0,71.6,0.27857142857142847,2016-06-01_2016-11-30,18
5269,2016-06-01,2016-11-30,157.0,263.0,0.6751592356687898,2016-06-01_2016-11-30,6
1301,2016-06-01,2016-11-30,79.0,90.8,0.1493670886075949,2016-06-01_2016-11-30,51
8341,2016-06-01,2016-11-30,156.0,115.5,-0.25961538461538464,2016-06-01_2016-11-30,191
5876,2016-06-01,2016-11-30,27.98,27.27,-0.025375268048606178,2016-06-01_2016-11-30,128
1227,2016-06-01,2016-11-30,78.7,75.6,-0.039390088945362244,2016-06-01_2016-11-30,141
2889,2016-06-01,2016-11-30,7.96,8.16,0.02512562814070354,2016-06-01_2016-11-30,92
3005,2016-06-01,2016-11-30,23.15,40.45,0.7473002159827216,2016-06-01_2016-11-30,4
1216,2016-06-01,2016-11-30,62.7,54.5,-0.13078149920255186,2016-06-01_2016-11-30,180
3023,2016-06-01,2016-11-30,73.9,66.7,-0.09742895805142086,2016-06-01_2016-11-30,170
5534,2016-06-01,2016-11-30,52.8,60.1,0.13825757575757586,2016-06-01_2016-11-30,56
2023,2016-06-01,2016-11-30,8.04,12.3,0.5298507462686569,2016-06-01_2016-11-30,9
6415,2016-06-01,2016-11-30,392.0,486.5,0.24107142857142858,2016-06-01_2016-11-30,23
1402,2016-06-01,2016-11-30,23.35,23.5,0.006423982869378953,2016-06-01_2016-11-30,112
